name,longitude,latitude,prov,date,key
Solanum nitidum Ruiz & Pav.,-68.111395,-16.470108,gbif,2019-04-27,2465100622
Solanum nitidum Ruiz & Pav.,-68.041692,-16.533199,gbif,2019-04-27,3892529310
Solanum tuberosum L.,-68.164715,-16.579747,gbif,2019-04-27,2429201212
Solanum nitidum Ruiz & Pav.,-68.102921,-16.486461,gbif,2019-04-27,2465100740
Solanum nitidum Ruiz & Pav.,-67.9388,-16.535059,gbif,2019-04-27,3892481313
Solanum nitidum Ruiz & Pav.,-68.670761,-16.366792,gbif,2019-04-28,2273202915
Solanum marginatum L.fil.,-68.086937,-16.486837,gbif,2019-04-28,2465101141
Solanum wendlandii Hook.fil.,-68.089929,-16.51982,gbif,2019-04-28,4054985310
Solanum palitans C.V.Morton,-68.066399,-16.537018,gbif,2019-04-29,2517947541
Solanum L.,-68.075213,-16.52989,gbif,2019-04-29,4852236224
Solanum marginatum L.fil.,-68.123437,-16.494798,gbif,2019-04-29,4852635197
Solanum marginatum L.fil.,-68.112617,-16.517129,gbif,2019-04-29,2238986445
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.13416,-16.17092,gbif,2019-04-26,3747245322
Solanum marginatum L.fil.,-68.058699,-16.531413,gbif,2019-04-29,2465101981
Solanum betaceum Cav.,-68.05853,-16.1003,gbif,2019-04-27,2239037434
Solanum palitans C.V.Morton,-68.093976,-16.555602,gbif,2019-04-27,3743318309
Solanum nitidum Ruiz & Pav.,-68.055661,-16.557092,gbif,2019-04-27,4413612345
Solanum aphyodendron S.Knapp,-68.931306,-14.598055,gbif,2019-04-22,2269025188
Solanum aphyodendron S.Knapp,-68.941361,-14.740028,gbif,2019-06-26,2302244991
Solanum nitidum Ruiz & Pav.,-68.014613,-16.523913,gbif,2019-07-16,3892581310
Solanum L.,-68.945972,-14.744972,gbif,2019-07-04,2302244127
Solanum L.,-68.993639,-14.770917,gbif,2019-09-05,2425456683
Solanum nitidum Ruiz & Pav.,-68.1521,-16.485262,gbif,2019-10-13,2449398780
Solanum iodes Dammer,-68.203148,-16.48978,gbif,2019-10-08,2449398682
Solanum iodes Dammer,-67.895561,-16.305895,gbif,2019-10-16,2449399239
Solanum iodes Dammer,-68.094604,-16.566874,gbif,2019-10-06,2449399182
Solanum iodes Dammer,-67.741699,-16.194893,gbif,2019-10-14,2541244211
Solanum iodes Dammer,-67.741699,-16.194893,gbif,2019-10-15,2541244177
Solanum palitans C.V.Morton,-68.094772,-16.554218,gbif,2019-11-17,3947062332
